ID,Name,Aadhaar,PAN,Account,Monthly Income,Savings,Property Value,Vehicle,FD/Stocks,Cash in Hand
156231,Aarav Bhuria,1234-XXXX-XXXX,ABCD1234E,ACC1234,"? 12,000","? 5,000","? 20,000",-,-,"? 2,000"
156232,Priya Munda,1234-XXXX-XXXX,ABCD1234F,ACC1235,"? 10,000","? 4,000","? 18,000",-,-,"? 1,500"
156233,Rohan Bhil,1234-XXXX-XXXX,ABCD1234G,ACC1236,"? 15,000","? 6,000","? 50,000",Bike,-,"? 3,000"
156234,Ananya Lohar,1234-XXXX-XXXX,ABCD1234H,ACC1237,"? 20,000","? 8,000","? 70,000",-,-,"? 4,000"
156235,Vikram Basor,1234-XXXX-XXXX,ABCD1234I,ACC1238,"? 9,000","? 3,000","? 15,000",-,-,"? 1,000"
156236,Kavya Bhuyan,1234-XXXX-XXXX,ABCD1234J,ACC1239,"? 25,000","? 12,000","? 1,50,000",-,"FD: ?20,000","? 5,000"
156237,Neha Majhi,1234-XXXX-XXXX,ABCD1234K,ACC1240,"? 10,000","? 3,000","? 25,000",-,-,"? 1,200"
156238,Rahul Bheel,1234-XXXX-XXXX,ABCD1234L,ACC1241,"? 8,000","? 2,500","? 12,000",-,-,? 800
156239,Sneha Nayak,1234-XXXX-XXXX,ABCD1234M,ACC1242,"? 18,000","? 9,000","? 50,000",-,-,"? 3,500"
156240,Arjun Gond,1234-XXXX-XXXX,ABCD1234N,ACC1243,"? 12,000","? 6,000","? 30,000",-,-,"? 2,500"
156241,Riya Meena,1234-XXXX-XXXX,ABCD1234O,ACC1244,"? 14,000","? 5,500","? 45,000",-,-,"? 3,000"
156242,Abhishek Kharia,1234-XXXX-XXXX,ABCD1234P,ACC1245,"? 30,000","? 15,000","? 1,80,000",-,"FD: ?25,000","? 8,000"
156243,Sunita Gamit,1234-XXXX-XXXX,ABCD1234Q,ACC1246,"? 7,000","? 2,000","? 10,000",-,-,"? 1,000"
156244,Rajesh Oraon,1234-XXXX-XXXX,ABCD1234R,ACC1247,"? 10,000","? 4,500","? 30,000",-,-,"? 2,000"
156245,Meera Bhil,1234-XXXX-XXXX,ABCD1234S,ACC1248,"? 16,000","? 6,500","? 60,000",-,-,"? 3,500"
156246,Karan Sahariya,1234-XXXX-XXXX,ABCD1234T,ACC1249,"? 9,500","? 3,500","? 20,000",-,-,"? 1,200"
156247,Simran Nayak,1234-XXXX-XXXX,ABCD1234U,ACC1250,"? 19,000","? 7,500","? 80,000",-,-,"? 4,000"
156248,Tanvi Gond,1234-XXXX-XXXX,ABCD1234V,ACC1251,"? 22,000","? 9,000","? 90,000",-,"FD: ?15,000","? 5,000"
156249,Aman Mahato,-,-,-,-,-,-,-,-,-
156250,Pooja Bhil,-,-,-,-,-,-,-,-,-
